CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
L18109MH2010PLC209302,New Incorporation,N/A,N/A,N/A,2025-10-11
L20100MH1995PLC322040,New Incorporation,N/A,N/A,N/A,2025-10-11
L20200MH1997PLC111887,New Incorporation,N/A,N/A,N/A,2025-10-11
L20237MH1985PLC034972,New Incorporation,N/A,N/A,N/A,2025-10-11
L21010MH1976PLC019099,New Incorporation,N/A,N/A,N/A,2025-10-11
L21010MH1995PLC085883,New Incorporation,N/A,N/A,N/A,2025-10-11
L21011MH1950FLC145537,New Incorporation,N/A,N/A,N/A,2025-10-11
L21098MH1995PLC086337,New Incorporation,N/A,N/A,N/A,2025-10-11
L21098MH1995PLC092627,New Incorporation,N/A,N/A,N/A,2025-10-11
L21098MH1996PLC101459,New Incorporation,N/A,N/A,N/A,2025-10-11
L21098MH2011PLC222833,New Incorporation,N/A,N/A,N/A,2025-10-11
L21098MH2013PLC244963,New Incorporation,N/A,N/A,N/A,2025-10-11
L21098PN2015PLC153717,New Incorporation,N/A,N/A,N/A,2025-10-11
L21099MH1991PLC061709,New Incorporation,N/A,N/A,N/A,2025-10-11
L21541MH1979PLC021541,New Incorporation,N/A,N/A,N/A,2025-10-11
L22122PN1999PLC013842,New Incorporation,N/A,N/A,N/A,2025-10-11
L22210MH1993PLC133365,New Incorporation,N/A,N/A,N/A,2025-10-11
L22210MH1995PLC084781,New Incorporation,N/A,N/A,N/A,2025-10-11
L22212MH1996PLC097737,New Incorporation,N/A,N/A,N/A,2025-10-11
L22219MH1989PLC052740,New Incorporation,N/A,N/A,N/A,2025-10-11
L22300MH1995PLC091082,New Incorporation,N/A,N/A,N/A,2025-10-11
L22300MH2008PLC181234,New Incorporation,N/A,N/A,N/A,2025-10-11
L23200MH1989PLC054633,New Incorporation,N/A,N/A,N/A,2025-10-11
L23200MH1990PLC057858,New Incorporation,N/A,N/A,N/A,2025-10-11
L23201MH1959GOI011388,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1962PLC012475,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1973PLC016908,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1983PLC029442,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1984PLC033519,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1985PLC036165,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1985PLC036547,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1985PLC037387,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1986PLC039837,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1988PLC343805,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1993PLC071376,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1994PLC082609,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH1999PLC119999,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH2009PLC190516,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH2009PLC194818,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH2010PLC204331,New Incorporation,N/A,N/A,N/A,2025-10-11
L24100MH2010PLC208870,New Incorporation,N/A,N/A,N/A,2025-10-11
L24110MH1947PLC005719,New Incorporation,N/A,N/A,N/A,2025-10-11
L24110MH1948PLC006517,New Incorporation,N/A,N/A,N/A,2025-10-11
L24110MH1972PLC015857,New Incorporation,N/A,N/A,N/A,2025-10-11
L24110MH1981PLC024742,New Incorporation,N/A,N/A,N/A,2025-10-11
L24110MH1992PLC065942,New Incorporation,N/A,N/A,N/A,2025-10-11
L24110MH1994PLC076156,New Incorporation,N/A,N/A,N/A,2025-10-11
L24110MH1994PLC077013,New Incorporation,N/A,N/A,N/A,2025-10-11
L24114MH1970PLC014722,New Incorporation,N/A,N/A,N/A,2025-10-11
L24114MH1997PLC106965,New Incorporation,N/A,N/A,N/A,2025-10-11
L24114PN1954PLC009279,New Incorporation,N/A,N/A,N/A,2025-10-11
L24115MH1988PLC048126,New Incorporation,N/A,N/A,N/A,2025-10-11
L24116MH1986PLC041681,New Incorporation,N/A,N/A,N/A,2025-10-11
L24119MH2002PLC136003,New Incorporation,N/A,N/A,N/A,2025-10-11
L24119PN1989PLC052562,New Incorporation,N/A,N/A,N/A,2025-10-11
L24120MH1990PLC058560,New Incorporation,N/A,N/A,N/A,2025-10-11
L24120MH1993PLC070334,New Incorporation,N/A,N/A,N/A,2025-10-11
L24121MH1979PLC021360,New Incorporation,N/A,N/A,N/A,2025-10-11
L24132MH1988PLC049387,New Incorporation,N/A,N/A,N/A,2025-10-11
L24200MH1986PLC041128,New Incorporation,N/A,N/A,N/A,2025-10-11
L24200MH1988PTC048028,New Incorporation,N/A,N/A,N/A,2025-10-11
L24210MH1958PLC011173,New Incorporation,N/A,N/A,N/A,2025-10-11
L24210MH1987PLC044362,New Incorporation,N/A,N/A,N/A,2025-10-11
L24220MH1948PLC006834,New Incorporation,N/A,N/A,N/A,2025-10-11
L24220MH1985PLC036774,New Incorporation,N/A,N/A,N/A,2025-10-11
L24224MH1975PLC018128,New Incorporation,N/A,N/A,N/A,2025-10-11
L24230MH1958PLC011078,New Incorporation,N/A,N/A,N/A,2025-10-11
L24230MH1972PLC116413,New Incorporation,N/A,N/A,N/A,2025-10-11
L24230MH1983PLC208593,New Incorporation,N/A,N/A,N/A,2025-10-11
L24230MH1985PLC036541,New Incorporation,N/A,N/A,N/A,2025-10-11
L24230MH1986PLC040603,New Incorporation,N/A,N/A,N/A,2025-10-11
L24230MH1994PLC077187,New Incorporation,N/A,N/A,N/A,2025-10-11
L24230MH2017PLC291636,New Incorporation,N/A,N/A,N/A,2025-10-11
L24231MH1992PLC323914,New Incorporation,N/A,N/A,N/A,2025-10-11
L24231PN1981PLC024251,New Incorporation,N/A,N/A,N/A,2025-10-11
